,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
5913,-118.44,34.29,30,1632,401.0,1357,401,3.1588,160100,<1H OCEAN
3251,-119.8,36.02,20,156,39.0,171,37,3.05,225000,INLAND
2147,-119.77,36.78,36,3616,779.0,1994,786,2.5434,67300,INLAND
5140,-118.28,33.97,38,1819,497.0,2110,499,1.6027,97300,<1H OCEAN
5350,-118.4,34.05,26,4473,923.0,1518,805,5.0762,500001,<1H OCEAN
867,-122.07,37.57,8,8647,1407.0,5019,1379,6.5615,318300,NEAR BAY
20612,-121.56,39.08,26,1377,289.0,761,267,1.4934,48300,INLAND
886,-121.98,37.54,17,5133,1375.0,3386,1339,3.1326,220800,<1H OCEAN
9886,-122.29,38.3,52,144,54.0,89,48,1.0096,162500,NEAR BAY
7831,-118.15,33.9,20,2850,737.0,1855,662,2.809,144600,<1H OCEAN
18145,-122.04,37.34,28,3081,460.0,1260,461,7.5372,432600,<1H OCEAN
3520,-118.49,34.27,34,4877,815.0,2521,781,5.5714,225900,<1H OCEAN
14061,-117.12,32.74,46,1898,441.0,978,439,3.2708,155200,NEAR OCEAN
2851,-118.95,35.38,35,2220,388.0,906,373,3.5938,95200,INLAND
18217,-122.08,37.4,23,806,158.0,373,156,5.9291,284600,NEAR BAY
7608,-118.26,33.88,40,519,102.0,330,95,3.0972,108500,<1H OCEAN
2286,-119.76,36.79,32,2463,468.0,1261,486,3.3281,75100,INLAND
7282,-118.25,33.98,39,1553,461.0,2271,437,1.7378,121900,<1H OCEAN
2884,-118.98,35.38,24,1807,465.0,1460,410,1.4786,54800,INLAND
3160,-118.92,35.13,29,1297,262.0,909,253,1.9236,106300,INLAND
8107,-118.21,33.8,44,1387,280.0,984,302,4.25,143100,NEAR OCEAN
5809,-118.27,34.15,7,2837,776.0,2287,736,3.008,229000,<1H OCEAN
3250,-119.96,35.99,25,1047,270.0,1505,286,2.0976,47700,INLAND
6371,-118.0,34.15,48,3436,673.0,1540,648,4.275,256800,INLAND
16751,-122.46,37.71,45,1799,394.0,1436,389,3.65,239900,NEAR OCEAN
12977,-121.32,38.67,31,2532,479.0,1396,467,4.0417,114500,INLAND
7012,-118.07,33.96,30,928,230.0,913,214,2.6991,147100,<1H OCEAN
15039,-117.0,32.77,35,2114,317.0,881,320,5.5,241400,<1H OCEAN
905,-121.99,37.54,18,3584,715.0,1673,661,3.9444,240100,<1H OCEAN
16403,-121.19,38.04,35,703,117.0,290,107,3.225,177100,INLAND
3893,-118.56,34.21,13,8327,1849.0,4126,1773,3.7313,189800,<1H OCEAN
15138,-116.92,32.82,16,2784,468.0,1458,465,4.0048,184600,<1H OCEAN
262,-122.2,37.78,50,1867,403.0,1128,378,2.5401,129100,NEAR BAY
15970,-122.41,37.71,28,5015,1240.0,3900,1029,1.2269,181900,NEAR BAY
799,-122.07,37.64,22,5861,1516.0,5436,1463,2.5158,134900,NEAR BAY
5217,-118.23,33.95,37,2667,671.0,2865,683,0.6831,87500,<1H OCEAN
11571,-118.01,33.76,35,2072,349.0,1249,317,3.9855,191900,<1H OCEAN
8989,-118.37,33.99,36,3228,543.0,1305,520,5.1695,397000,<1H OCEAN
5175,-118.27,33.95,34,1261,315.0,1027,303,2.2946,88800,<1H OCEAN
12895,-121.33,38.65,24,3533,741.0,1496,723,2.8106,183200,INLAND
301,-122.18,37.76,52,754,175.0,447,165,3.9063,93800,NEAR BAY
17999,-121.97,37.28,27,2427,403.0,1301,438,5.0385,277300,<1H OCEAN
11977,-117.5,34.0,15,1929,317.0,1237,316,4.4063,128500,INLAND
2592,-124.1,40.9,18,4032,798.0,1948,775,2.7321,92600,NEAR OCEAN
12367,-116.43,33.81,8,6710,1343.0,2069,781,3.5223,115100,INLAND
1034,-120.76,38.47,17,1521,309.0,607,240,3.5,123800,INLAND
3747,-118.41,34.17,35,2027,428.0,879,402,4.692,330900,<1H OCEAN
19293,-122.83,38.4,37,2217,451.0,1019,428,3.1217,178500,<1H OCEAN
9145,-118.46,34.4,12,25957,4798.0,10475,4490,4.542,195300,<1H OCEAN
628,-122.19,37.71,36,361,69.0,158,58,5.5461,262500,NEAR BAY
9206,-119.91,37.23,17,2171,389.0,1042,375,3.625,94400,INLAND
17587,-121.92,37.3,36,2088,358.0,772,347,4.2762,310100,<1H OCEAN
15237,-117.26,32.95,22,5484,1227.0,1947,1012,4.4375,500001,NEAR OCEAN
2928,-119.01,35.37,33,821,181.0,579,172,1.2469,46700,INLAND
10489,-117.67,33.49,15,2782,579.0,983,525,2.1935,183300,<1H OCEAN
3118,-117.81,35.65,19,1124,290.0,598,261,1.8984,54300,INLAND
5506,-118.42,33.98,3,475,155.0,236,153,3.6667,450000,<1H OCEAN
15864,-122.4,37.76,52,1495,311.0,506,275,4.4375,320000,NEAR BAY
2225,-119.84,36.81,18,2789,378.0,937,364,7.7062,188300,INLAND
16577,-121.43,37.75,42,1207,278.0,699,279,3.3611,117600,INLAND
4179,-118.22,34.09,36,1427,415.0,1835,410,2.48,138900,<1H OCEAN
14757,-117.04,32.55,15,2206,648.0,2511,648,1.6348,93200,NEAR OCEAN
15482,-117.14,33.15,16,1129,198.0,758,178,5.0346,174600,<1H OCEAN
6266,-117.94,34.04,36,1431,354.0,1367,334,3.5592,160200,<1H OCEAN
9101,-117.93,34.57,5,5613,1060.0,3569,999,3.1946,132700,INLAND
3793,-118.37,34.16,25,2450,618.0,1054,578,3.6375,262500,<1H OCEAN
13954,-117.1,34.21,22,4397,931.0,1145,445,4.5268,108400,INLAND
18786,-122.42,40.44,16,994,,495,181,2.1875,76400,INLAND
12555,-121.47,38.54,47,2085,464.0,1346,402,1.2679,56700,INLAND
6796,-118.14,34.08,30,1433,397.0,1110,346,2.3464,191700,<1H OCEAN
3668,-118.39,34.23,18,3405,831.0,3001,795,3.0083,181900,<1H OCEAN
12833,-121.41,38.69,28,1601,308.0,848,305,3.6429,105200,INLAND
9468,-123.8,39.44,33,2024,459.0,1019,422,1.9208,93600,<1H OCEAN
10527,-117.71,33.54,7,4907,577.0,1883,556,10.4415,453800,<1H OCEAN
12534,-121.5,38.56,46,2646,645.0,1684,616,1.128,123100,INLAND
14392,-117.24,32.75,36,2831,669.0,1279,660,2.9896,252700,NEAR OCEAN
7656,-118.26,33.82,28,5091,1074.0,4753,1033,3.6477,117400,<1H OCEAN
11406,-117.95,33.71,16,6058,1715.0,3285,1495,3.4133,290900,<1H OCEAN
14394,-117.24,32.75,41,1989,514.0,1015,489,2.79,226000,NEAR OCEAN
16336,-121.35,38.04,12,6217,1019.0,3771,961,3.7206,146000,INLAND
12055,-117.57,33.88,39,679,164.0,769,179,2.3036,110600,INLAND
14550,-117.24,32.94,12,2165,437.0,792,386,5.2648,294400,NEAR OCEAN
19690,-121.63,39.12,34,1991,348.0,804,344,3.4492,98800,INLAND
11222,-117.9,33.8,27,2176,442.0,1440,418,4.375,212500,<1H OCEAN
18982,-122.01,38.26,12,4132,710.0,2087,633,4.5987,139700,INLAND
3859,-118.44,34.17,29,2685,642.0,1085,599,3.2763,279400,<1H OCEAN
10151,-117.92,33.9,13,1814,320.0,1010,313,6.3489,337900,<1H OCEAN
9332,-122.64,38.01,36,1336,258.0,678,249,5.5789,292000,NEAR OCEAN
2475,-119.97,36.44,18,1128,237.0,772,220,2.1771,39200,INLAND
11286,-117.95,33.79,34,2912,520.0,1625,501,4.4667,190600,<1H OCEAN
11620,-118.05,33.84,21,4890,653.0,2295,654,6.983,329700,<1H OCEAN
16263,-121.26,37.95,44,819,184.0,677,183,1.725,59300,INLAND
9675,-118.96,37.64,11,3934,697.0,901,345,4.2381,242700,INLAND
19704,-121.64,39.11,18,3212,542.0,1817,508,3.3793,92900,INLAND
14073,-117.12,32.76,28,2160,608.0,1339,571,1.9152,128100,NEAR OCEAN
15131,-116.92,32.86,11,2204,518.0,1472,497,2.3693,127000,<1H OCEAN
20445,-118.83,34.33,6,6679,1164.0,3196,1157,5.4493,242600,<1H OCEAN
15785,-122.39,37.78,3,3464,1179.0,1441,919,4.7105,275000,NEAR BAY
14374,-117.25,32.73,38,1840,291.0,633,283,4.9125,383600,NEAR OCEAN
16635,-120.84,35.3,15,2062,327.0,781,316,4.9359,317700,NEAR OCEAN
11426,-117.98,33.7,17,1997,340.0,952,341,4.4148,239200,<1H OCEAN
523,-122.24,37.77,52,1153,235.0,481,223,2.6411,241000,NEAR BAY
12876,-121.36,38.66,22,2878,599.0,1362,541,2.7955,96500,INLAND
9375,-122.5,37.92,32,2639,415.0,1013,408,6.1632,349200,NEAR BAY
19657,-120.84,37.48,10,2874,612.0,1960,596,2.7381,104600,INLAND
8510,-118.31,33.88,21,1490,430.0,686,400,2.3812,237500,<1H OCEAN
9040,-118.09,34.68,4,23386,4171.0,10493,3671,4.0211,144000,INLAND
3077,-119.23,35.77,26,2636,468.0,1416,485,4.1917,84000,INLAND
5841,-118.32,34.19,37,1519,331.0,613,315,3.0179,272500,<1H OCEAN
3882,-118.52,34.22,35,1275,222.0,959,226,5.0282,195400,<1H OCEAN
4267,-118.3,34.1,25,3926,1715.0,4865,1612,1.6112,262500,<1H OCEAN
9773,-121.25,36.32,12,4776,1082.0,4601,1066,2.9184,100500,<1H OCEAN
7739,-118.15,33.94,36,1948,341.0,992,363,4.2594,242400,<1H OCEAN
11972,-117.43,34.01,34,2101,426.0,1150,377,3.0909,98300,INLAND
9399,-122.56,37.9,48,1550,253.0,641,276,8.634,463500,NEAR BAY
19673,-120.84,37.51,20,1901,313.0,1258,320,3.8958,126800,INLAND
4590,-118.28,34.06,52,936,454.0,990,354,1.1122,187500,<1H OCEAN
20307,-119.17,34.15,18,2509,688.0,3129,677,2.6098,146100,NEAR OCEAN
18147,-122.04,37.35,28,1582,264.0,696,270,5.678,370100,<1H OCEAN
466,-122.28,37.87,52,1813,353.0,828,339,3.5625,191700,NEAR BAY
7781,-118.06,33.91,24,4880,1044.0,4516,1050,4.1387,157700,<1H OCEAN
4067,-118.47,34.15,43,804,117.0,267,110,8.2269,500001,<1H OCEAN
8900,-118.48,34.04,47,1956,277.0,724,277,8.9616,500001,<1H OCEAN
14158,-117.08,32.76,27,1221,254.0,606,259,3.0833,155400,NEAR OCEAN
20501,-118.71,34.3,20,1586,187.0,699,209,6.5483,335000,<1H OCEAN
4520,-118.2,34.04,18,796,227.0,547,218,1.0333,135400,<1H OCEAN
1539,-122.04,37.88,32,3250,550.0,1230,557,4.6424,312700,NEAR BAY
10330,-117.76,33.83,15,3086,457.0,1262,436,6.4415,300700,<1H OCEAN
12170,-117.11,33.74,18,4799,1035.0,1966,944,2.1182,71300,INLAND
126,-122.22,37.84,50,2935,473.0,1031,479,7.5,295200,NEAR BAY
2697,-115.37,32.82,30,1602,322.0,1130,335,3.5735,71100,INLAND
6669,-118.11,34.16,52,3158,459.0,1229,444,5.4223,325600,INLAND
13975,-116.76,34.23,10,4374,989.0,1020,376,2.6071,89000,INLAND
18311,-122.12,37.42,36,2607,551.0,1165,523,5.1524,373100,NEAR BAY
14412,-117.23,32.78,35,1649,355.0,746,360,4.6293,356500,NEAR OCEAN
3837,-118.44,34.19,19,3487,959.0,2278,835,2.6709,215500,<1H OCEAN
19534,-120.9,37.64,26,1762,418.0,855,308,1.6767,81300,INLAND
13674,-117.27,34.05,34,1703,395.0,849,359,3.1607,138200,INLAND
9643,-120.85,37.06,31,2609,645.0,1796,629,1.5479,82000,INLAND
14975,-116.99,32.7,15,3660,622.0,2629,612,4.0444,150100,NEAR OCEAN
20587,-121.6,39.15,19,1396,336.0,940,309,1.5208,70300,INLAND
13842,-117.32,34.55,18,279,59.0,188,60,0.8246,91700,INLAND
12634,-121.47,38.49,17,3595,790.0,2760,770,2.3233,78800,INLAND
3622,-118.45,34.23,15,5738,1767.0,4620,1581,2.3584,157600,<1H OCEAN
6746,-118.08,34.12,27,1685,341.0,757,317,4.2434,270500,<1H OCEAN
10094,-117.96,33.94,31,2397,518.0,1407,476,2.6641,185200,<1H OCEAN
6862,-118.14,34.06,27,5257,1082.0,3496,1036,3.3906,237200,<1H OCEAN
20372,-118.88,34.17,15,4260,,1701,669,5.1033,410700,<1H OCEAN
12175,-117.23,33.77,5,2108,496.0,1666,461,2.0,83000,INLAND
11102,-117.88,33.85,26,3924,781.0,2332,725,3.7772,223900,<1H OCEAN
16371,-121.3,38.03,13,1014,200.0,712,197,3.1471,102800,INLAND
6303,-117.9,33.99,18,8076,1789.0,5325,1707,3.443,171900,<1H OCEAN
14384,-117.24,32.74,44,1488,259.0,667,281,4.0862,321800,NEAR OCEAN
2554,-124.18,40.78,33,1076,222.0,656,236,2.5096,72200,NEAR OCEAN
7772,-118.1,33.91,35,1592,335.0,1238,320,4.9732,165000,<1H OCEAN
576,-122.06,37.77,12,14316,2045.0,5781,2007,7.2634,341600,NEAR BAY
19707,-121.68,39.15,14,2774,451.0,1292,428,4.3833,115200,INLAND
14312,-117.14,32.7,32,1280,353.0,1335,330,1.6023,77300,NEAR OCEAN
15007,-117.02,32.76,15,1204,326.0,543,326,1.0278,154200,<1H OCEAN
10670,-117.86,33.62,17,2975,371.0,1247,398,10.1989,500001,<1H OCEAN
14668,-117.13,32.79,35,1362,243.0,698,255,3.6458,173800,NEAR OCEAN
4514,-118.2,34.04,52,1249,307.0,1223,297,2.07,136300,<1H OCEAN
1224,-120.57,38.2,13,4110,847.0,1796,706,2.6417,122300,INLAND
7355,-118.17,33.96,25,2249,681.0,2621,628,2.3,164200,<1H OCEAN
10541,-117.74,33.46,9,6564,1316.0,1720,904,4.89,454100,<1H OCEAN
13837,-117.18,34.54,5,3772,619.0,2097,635,3.8194,98500,INLAND
3729,-118.42,34.18,40,1013,150.0,449,166,5.7143,382400,<1H OCEAN
17275,-119.69,34.38,39,1383,459.0,677,362,2.25,281300,NEAR OCEAN
15262,-117.27,33.03,19,2899,499.0,1356,512,4.87,220900,NEAR OCEAN
3445,-118.41,34.25,36,1146,259.0,1173,272,3.6016,153800,<1H OCEAN
9033,-118.66,34.02,23,8798,1465.0,2750,1208,8.7364,500001,NEAR OCEAN
374,-122.15,37.74,43,1383,275.0,853,272,3.5083,122000,NEAR BAY
19653,-120.85,37.49,39,2840,733.0,2606,737,1.9429,76400,INLAND
5764,-118.29,34.17,12,2238,682.0,1882,611,2.9,208300,<1H OCEAN
19166,-122.7,38.43,28,1585,412.0,1362,424,1.6685,114100,<1H OCEAN
10332,-117.76,33.86,14,3666,442.0,1400,433,10.1316,500001,<1H OCEAN
9273,-122.58,38.15,9,1302,177.0,682,190,7.5,423200,<1H OCEAN
4750,-118.32,34.04,39,2965,812.0,2638,794,2.532,172700,<1H OCEAN
2503,-120.46,36.87,20,1287,310.0,954,269,1.3386,63000,INLAND
10885,-117.92,33.7,15,3201,,1510,622,4.2708,161700,<1H OCEAN
1193,-121.59,39.39,22,2515,482.0,1284,462,2.1776,73800,INLAND
6277,-117.94,34.02,27,5026,955.0,3899,930,3.871,162900,<1H OCEAN
17406,-120.45,34.94,26,1058,232.0,891,243,3.6422,120600,<1H OCEAN
14068,-117.12,32.76,23,2681,717.0,1279,648,2.1597,116100,NEAR OCEAN
12105,-117.34,34.0,27,321,64.0,214,67,3.175,101600,INLAND
6467,-118.05,34.1,30,2143,427.0,1107,416,4.2321,252200,INLAND
8077,-118.19,33.82,19,2953,895.0,1914,855,3.5521,290000,NEAR OCEAN
13490,-117.38,34.06,17,3139,569.0,1612,516,3.3571,112300,INLAND
16250,-121.27,37.97,39,1023,243.0,550,224,1.1141,54400,INLAND
2513,-122.18,39.75,30,4157,834.0,1885,774,1.6948,67500,INLAND
8894,-118.49,34.03,32,3851,900.0,1456,836,4.5208,442100,<1H OCEAN
10507,-117.68,33.54,5,2840,403.0,1363,403,7.618,341400,<1H OCEAN
3275,-122.92,39.05,38,3131,624.0,1591,568,2.5457,80700,INLAND
1892,-120.0,38.92,26,529,116.0,191,83,3.5,103600,INLAND
16525,-121.2,37.79,36,866,160.0,502,149,2.4798,101500,INLAND
13550,-117.3,34.11,42,525,111.0,444,120,2.6771,67000,INLAND
8620,-118.38,33.86,24,3124,560.0,1312,542,6.3021,333800,<1H OCEAN
12248,-117.01,33.75,15,2873,903.0,1094,659,1.8015,105100,INLAND
6976,-118.04,33.99,47,2530,565.0,1262,509,3.6475,197100,<1H OCEAN
12994,-121.25,38.69,24,1014,185.0,606,194,4.1607,112800,INLAND
768,-122.09,37.65,35,1130,192.0,543,184,4.3897,190600,NEAR BAY
16258,-121.26,37.96,43,940,208.0,690,181,2.3056,62300,INLAND
11894,-117.35,33.97,27,3960,886.0,2807,838,3.024,122500,INLAND
7560,-118.2,33.91,36,2283,499.0,1836,462,2.8793,118100,<1H OCEAN
8949,-118.46,34.02,46,2571,502.0,1225,501,6.0436,473000,<1H OCEAN
8345,-118.32,33.94,37,1487,296.0,863,291,3.1563,186200,<1H OCEAN
5593,-118.25,33.8,36,1697,394.0,1274,396,3.35,163100,<1H OCEAN
2110,-119.75,36.75,49,2331,460.0,1290,477,2.5111,55400,INLAND
18911,-122.24,38.14,15,8479,1759.0,5008,1646,3.724,131600,NEAR BAY
20025,-119.05,36.07,21,2472,523.0,1238,504,1.7756,62900,INLAND
19664,-120.82,37.49,25,1611,285.0,882,261,3.5547,122400,INLAND
18633,-121.96,37.06,16,1321,224.0,650,206,6.3258,390000,NEAR OCEAN
18321,-122.13,37.45,37,1287,197.0,510,206,7.9029,500001,NEAR BAY
11624,-118.05,33.82,25,1548,279.0,732,265,5.123,159600,<1H OCEAN
18976,-122.03,38.25,13,3334,541.0,1923,538,4.0905,134800,INLAND
17940,-121.94,37.33,36,1893,359.0,797,360,3.6818,257600,<1H OCEAN
11483,-118.0,33.73,26,2236,280.0,809,282,6.7395,342800,<1H OCEAN
8518,-118.32,33.89,44,1300,252.0,695,249,5.1669,220600,<1H OCEAN
1503,-122.05,37.95,22,5175,1213.0,2804,1091,2.85,144600,NEAR BAY
5734,-118.23,34.16,31,3105,582.0,1359,547,5.1718,429100,<1H OCEAN
12800,-121.46,38.61,43,705,178.0,464,159,2.4205,60900,INLAND
14306,-117.14,32.71,52,800,313.0,1337,282,1.5594,87500,NEAR OCEAN
15958,-122.46,37.71,47,1527,283.0,1102,282,4.0,231600,NEAR OCEAN
12594,-121.49,38.53,40,2966,536.0,1225,505,3.125,130600,INLAND
3602,-118.49,34.22,30,1756,314.0,899,288,5.0325,238200,<1H OCEAN
700,-122.03,37.69,20,200,25.0,83,31,6.5,340000,NEAR BAY
10354,-117.62,33.77,43,1911,439.0,930,433,4.6369,186400,<1H OCEAN
6743,-118.07,34.12,30,2201,559.0,1194,531,4.1136,279900,INLAND
7032,-118.1,33.96,36,2013,435.0,1476,475,3.9549,192100,<1H OCEAN
4766,-118.36,34.03,43,1690,379.0,1017,359,2.1078,133500,<1H OCEAN
13606,-117.27,34.17,16,30,3.0,49,8,4.625,250000,INLAND
9746,-121.62,36.63,52,1437,298.0,836,257,3.6286,165500,<1H OCEAN
3529,-118.53,34.26,18,3674,,1590,550,8.176,308400,<1H OCEAN
5263,-118.52,34.04,47,1985,315.0,819,340,6.5147,500001,<1H OCEAN
15933,-122.4,37.73,42,1413,406.0,1027,362,2.3625,233000,NEAR BAY
10714,-117.84,33.66,5,1688,430.0,857,402,3.7857,231600,<1H OCEAN
1463,-122.0,37.96,28,4071,713.0,2033,647,4.5833,190700,INLAND
5113,-118.29,33.96,36,1717,417.0,902,368,1.4868,113200,<1H OCEAN
1158,-121.53,39.53,35,1806,293.0,683,295,4.5156,91200,INLAND
17955,-121.99,37.34,27,3353,653.0,1571,621,5.273,315600,<1H OCEAN
19748,-122.23,40.2,17,762,138.0,322,139,4.2917,128800,INLAND
14377,-117.25,32.73,37,2224,331.0,821,341,6.3331,400000,NEAR OCEAN
8765,-118.38,33.81,41,1889,301.0,802,278,6.015,488500,NEAR OCEAN
18072,-122.0,37.28,35,3133,541.0,1449,555,5.7295,346100,<1H OCEAN
8109,-118.19,33.79,29,3497,1096.0,2994,919,1.8109,137500,NEAR OCEAN
5178,-118.26,33.94,45,1080,218.0,850,237,2.25,93400,<1H OCEAN
12073,-117.64,33.88,13,8010,1366.0,3920,1309,5.536,204800,<1H OCEAN
16870,-122.41,37.61,43,1934,303.0,847,300,4.7381,347400,NEAR OCEAN
10270,-117.87,33.87,7,2663,642.0,1367,677,4.6563,162400,<1H OCEAN
12363,-116.47,33.84,3,9169,1512.0,3838,1270,4.3111,142500,INLAND
3846,-118.47,34.19,41,1104,196.0,495,196,5.0929,225000,<1H OCEAN
17467,-119.84,34.44,28,977,162.0,537,159,4.2404,274300,NEAR OCEAN
17430,-120.44,34.65,30,2265,512.0,1402,471,1.975,134000,NEAR OCEAN
7810,-118.1,33.9,37,796,175.0,740,183,3.6,156400,<1H OCEAN
7497,-118.25,33.93,42,763,191.0,754,174,2.0486,101800,<1H OCEAN
14884,-117.07,32.63,37,2372,444.0,1056,419,3.7583,145500,NEAR OCEAN
9920,-122.33,38.33,15,3193,468.0,1303,426,5.3017,202600,NEAR BAY
5396,-118.37,34.04,43,1465,278.0,727,290,4.0781,289400,<1H OCEAN
17807,-121.88,37.39,13,3334,565.0,2240,561,7.105,273900,<1H OCEAN
16512,-121.22,37.72,34,2123,387.0,1310,368,2.6368,165600,INLAND
13148,-121.29,36.9,17,3610,593.0,1734,559,5.8324,374200,INLAND
19366,-122.96,38.42,50,2530,524.0,940,361,2.9375,122900,<1H OCEAN
17676,-121.84,37.32,14,5762,1538.0,3979,1389,3.6953,192600,<1H OCEAN
3240,-119.56,36.09,14,1267,290.0,1077,279,1.85,52300,INLAND
14519,-117.13,32.91,16,2715,581.0,1619,584,4.0,154700,<1H OCEAN
2834,-118.99,35.4,43,2225,392.0,890,374,4.0208,90400,INLAND
11623,-118.04,33.83,20,1488,312.0,972,283,4.055,201900,<1H OCEAN
9806,-121.95,36.61,31,1736,250.0,497,170,6.3835,407800,NEAR OCEAN
17047,-122.29,37.48,15,5480,892.0,2009,831,7.4678,500001,NEAR OCEAN
17019,-122.3,37.52,38,2769,387.0,994,395,5.5902,417000,NEAR OCEAN
1795,-122.34,37.93,30,2515,481.0,1327,428,2.1287,95000,NEAR BAY
13661,-117.33,34.03,18,2342,402.0,1264,382,4.7986,123700,INLAND
16092,-122.5,37.76,52,2018,422.0,1142,463,3.7083,307700,NEAR OCEAN
19446,-121.03,37.69,5,4034,771.0,1967,742,3.8065,146000,INLAND
5636,-118.28,33.74,16,855,271.0,486,250,0.7591,350000,NEAR OCEAN
8146,-118.1,33.82,36,1930,354.0,915,328,5.2713,244400,<1H OCEAN
16304,-121.37,38.01,15,2430,315.0,1016,314,10.0088,242000,INLAND
6589,-118.2,34.2,44,2890,438.0,1219,429,6.987,500001,<1H OCEAN
9867,-121.84,36.61,26,2902,761.0,2258,719,2.5663,128900,<1H OCEAN
17302,-119.52,34.4,20,1834,477.0,1305,417,3.2125,251000,NEAR OCEAN
6321,-117.98,34.0,22,3632,538.0,1968,566,6.019,324900,<1H OCEAN
2789,-118.42,37.36,18,2281,520.0,1425,465,1.7388,54400,INLAND
2682,-115.54,32.98,27,1513,395.0,1121,381,1.9464,60600,INLAND
1724,-122.36,37.95,40,408,102.0,302,81,1.8333,69800,NEAR BAY
14485,-117.29,32.92,25,2355,381.0,823,358,6.8322,500001,NEAR OCEAN
12409,-116.25,33.75,33,278,91.0,375,81,2.025,50000,INLAND
12106,-117.34,33.98,10,17286,4952.0,9851,4616,1.7579,103400,INLAND
3189,-119.78,36.27,29,1871,315.0,1066,309,4.5714,100800,INLAND
10074,-120.1,39.33,9,2738,510.0,1193,412,4.3958,124800,INLAND
1476,-122.04,37.96,16,2913,723.0,1705,693,2.9097,106300,NEAR BAY
10818,-117.91,33.65,19,1589,421.0,1118,394,4.1029,213400,<1H OCEAN
20333,-118.99,34.23,9,10618,1617.0,4830,1606,6.6246,284200,<1H OCEAN
20221,-119.27,34.29,32,2274,406.0,982,393,5.3254,385200,NEAR OCEAN
4785,-118.32,34.03,50,1845,349.0,1109,335,2.8971,127800,<1H OCEAN
15399,-117.2,33.2,16,4409,629.0,1875,609,5.543,286400,<1H OCEAN
10584,-117.81,33.71,16,2666,387.0,1227,347,7.3769,302400,<1H OCEAN
5072,-118.31,33.98,52,1837,426.0,1062,343,2.0,96500,<1H OCEAN
440,-122.3,37.88,46,1647,376.0,854,355,2.9,144800,NEAR BAY
4001,-118.65,34.18,26,4607,656.0,1769,643,7.4918,367600,<1H OCEAN
8957,-118.39,34.01,25,1101,285.0,543,294,2.3571,340600,<1H OCEAN
10806,-117.94,33.65,20,5476,1073.0,2327,963,5.6637,222100,<1H OCEAN
17042,-122.28,37.5,33,6499,998.0,2694,957,7.4787,431300,NEAR OCEAN
1556,-121.96,37.81,12,6488,778.0,2404,765,8.3188,403400,<1H OCEAN
15684,-122.43,37.8,52,2802,622.0,954,572,4.5399,500001,NEAR BAY
2278,-119.77,36.79,34,2679,460.0,1141,470,3.2642,89600,INLAND
18708,-122.41,40.58,35,2072,385.0,1029,375,2.8512,75600,INLAND
7147,-118.14,34.03,44,2003,390.0,1291,392,4.0625,201100,<1H OCEAN
19855,-119.45,36.35,22,1824,333.0,1076,282,2.3365,69600,INLAND
5454,-118.46,34.0,36,1392,260.0,679,247,4.7344,346900,<1H OCEAN
18777,-122.24,40.45,27,1804,321.0,782,300,3.5978,80600,INLAND
14404,-117.25,32.78,21,1479,484.0,658,384,2.45,350000,NEAR OCEAN
16442,-121.29,38.14,34,1500,337.0,674,282,2.515,110800,INLAND
20374,-118.84,34.16,18,6075,1056.0,2571,1018,5.22,399400,<1H OCEAN
9612,-120.47,37.29,16,749,222.0,1277,224,1.2054,60900,INLAND
19297,-122.8,38.37,26,1634,315.0,909,317,4.1731,257200,<1H OCEAN
14887,-117.08,32.62,28,2468,506.0,1353,522,3.0771,158600,NEAR OCEAN
17272,-119.71,34.41,18,1225,317.0,694,306,3.6823,255000,NEAR OCEAN
6261,-117.96,34.04,35,1141,212.0,924,212,3.1591,148300,<1H OCEAN
1420,-122.06,37.99,16,2445,469.0,721,474,2.8043,87500,NEAR BAY
16474,-121.25,38.14,16,1174,242.0,464,261,2.3,133300,INLAND
16415,-121.26,37.88,42,465,93.0,256,93,3.1719,158300,INLAND
18749,-122.28,40.5,21,2405,476.0,1197,412,2.6488,83100,INLAND
11156,-117.98,33.84,31,1252,225.0,714,226,4.6042,220700,<1H OCEAN
18263,-122.09,37.37,34,2165,355.0,776,339,5.2971,442100,NEAR BAY
7673,-118.08,33.93,34,1558,375.0,1179,337,3.2188,165100,<1H OCEAN
18400,-121.84,37.25,25,5939,989.0,3275,954,5.6488,234600,<1H OCEAN
2740,-115.56,32.78,29,1568,283.0,848,245,3.1597,76200,INLAND
12185,-117.37,33.7,8,4345,865.0,2425,785,3.2481,123800,<1H OCEAN
17199,-119.78,34.48,21,2377,322.0,1007,328,7.9248,500001,NEAR OCEAN
3933,-118.58,34.2,37,1389,252.0,826,249,5.015,220900,<1H OCEAN
20194,-119.22,34.26,16,2596,625.0,1403,562,3.4018,145200,NEAR OCEAN
18253,-122.09,37.39,34,1508,483.0,774,443,2.7279,365600,NEAR BAY
4722,-118.37,34.05,48,1266,234.0,539,222,4.005,275000,<1H OCEAN
19882,-119.24,36.33,9,3289,621.0,1866,631,3.1599,95000,INLAND
13231,-117.68,34.15,4,4082,578.0,1996,580,6.7813,286300,INLAND
5977,-117.78,34.11,23,7079,1381.0,3205,1327,3.0735,212300,INLAND
3212,-119.65,36.34,46,1730,337.0,752,323,1.8529,67200,INLAND
6854,-118.15,34.07,40,1072,204.0,940,200,3.125,242700,<1H OCEAN
